id,full name,schol grade,email,gender,height,weight,speciality
1,Dennison Doddridge,11,ddoddridge0@meetup.com,Male,1.79,60.38,Human Resources
2,Iris Poyle,18,ipoyle1@timesonline.co.uk,Female,1.71,83.14,Training
3,Gar Moralee,18,gmoralee2@gizmodo.com,Male,1.84,60.57,Business Development
4,Gavin Segge,13,gsegge3@networkadvertising.org,Male,1.13,85.66,Training
5,Elka Crauford,19,ecrauford4@aol.com,Female,1.09,70.47,Training
6,Rahel Kerfod,14,rkerfod5@ehow.com,Female,1.76,82.14,Research and Development
7,Albie Hubner,13,ahubner6@google.co.jp,Male,1.35,65.25,Training
8,Emmit Deeth,14,edeeth7@miitbeian.gov.cn,Genderfluid,1.8,71.56,Human Resources
9,Seamus Matuszak,16,smatuszak8@youtu.be,Male,1.06,69.2,Legal
10,Lorne Casacchia,15,lcasacchia9@cnet.com,Non-binary,1.52,73.14,Research and Development
11,Cristen Grooby,19,cgroobya@devhub.com,Female,1.52,87.43,Services
12,Gill Burdikin,10,gburdikinb@miibeian.gov.cn,Female,1.07,66.21,Marketing
13,Erich Tocque,16,etocquec@wiley.com,Male,1.19,78.67,Research and Development
14,Brannon Milsom,10,bmilsomd@hud.gov,Male,1.77,86.21,Support
15,Gideon Harken,14,gharkene@vinaora.com,Male,1.06,81.86,Engineering
16,Marve Stroder,10,mstroderf@home.pl,Male,1.37,60.39,Human Resources
17,Scarface Nequest,17,snequestg@ucoz.com,Male,1.79,66.85,Support
18,Sonny Kilgrew,12,skilgrewh@boston.com,Female,1.12,68.52,Business Development
19,Carey Rabbage,18,crabbagei@pcworld.com,Male,1.76,77.13,Product Management
20,Ranique Lehmann,14,rlehmannj@illinois.edu,Female,1.5,73.37,Training
21,Darryl Wood,11,dwoodk@phoca.cz,Male,1.56,72.6,Legal
22,Wilden Crees,12,wcreesl@globo.com,Male,1.65,79.33,Product Management
23,Shawn Pimlock,14,spimlockm@kickstarter.com,Female,1.96,70.25,Marketing
